lat,lon,first_crossing_year
-89.05759162303664,148.75,2041.0
-89.05759162303664,150.0,2041.0
-89.05759162303664,151.25,2041.0
-89.05759162303664,152.5,2041.0
-89.05759162303664,153.75,2041.0
-89.05759162303664,155.0,2041.0
-89.05759162303664,156.25,2041.0
-89.05759162303664,157.5,2041.0
-89.05759162303664,158.75,2041.0
-89.05759162303664,160.0,2041.0
-89.05759162303664,161.25,2041.0
-89.05759162303664,162.5,2041.0
-89.05759162303664,163.75,2041.0
-89.05759162303664,165.0,2041.0
-89.05759162303664,166.25,2041.0
-89.05759162303664,167.5,2041.0
-89.05759162303664,168.75,2041.0
-89.05759162303664,170.0,2041.0
-89.05759162303664,171.25,2041.0
-89.05759162303664,172.5,2041.0
-89.05759162303664,173.75,2041.0
-89.05759162303664,175.0,2041.0
-89.05759162303664,176.25,2041.0
-89.05759162303664,177.5,2041.0
-89.05759162303664,178.75,2041.0
-89.05759162303664,180.0,2041.0
-89.05759162303664,181.25,2041.0
-89.05759162303664,182.5,2041.0
-89.05759162303664,183.75,2041.0
-89.05759162303664,185.0,2041.0
-89.05759162303664,186.25,2041.0
-89.05759162303664,187.5,2041.0
-89.05759162303664,188.75,2041.0
-89.05759162303664,190.0,2041.0
-89.05759162303664,191.25,2041.0
-89.05759162303664,192.5,2041.0
-89.05759162303664,193.75,2041.0
-89.05759162303664,195.0,2041.0
-89.05759162303664,196.25,2041.0
-89.05759162303664,197.5,2041.0
-89.05759162303664,198.75,2041.0
-89.05759162303664,200.0,2041.0
-89.05759162303664,201.25,2041.0
-89.05759162303664,202.5,2041.0
-89.05759162303664,203.75,2041.0
-89.05759162303664,205.0,2041.0
-89.05759162303664,206.25,2041.0
-89.05759162303664,207.5,2041.0
-89.05759162303664,208.75,2041.0
-89.05759162303664,210.0,2041.0
-89.05759162303664,211.25,2041.0
-89.05759162303664,212.5,2041.0
-89.05759162303664,213.75,2041.0
-89.05759162303664,215.0,2041.0
-89.05759162303664,216.25,2041.0
-89.05759162303664,217.5,2041.0
-89.05759162303664,218.75,2041.0
-89.05759162303664,220.0,2041.0
-89.05759162303664,221.25,2041.0
-89.05759162303664,222.5,2041.0
-89.05759162303664,223.75,2041.0
-89.05759162303664,225.0,2041.0
-89.05759162303664,226.25,2041.0
-89.05759162303664,227.5,2041.0
-89.05759162303664,228.75,2041.0
-89.05759162303664,230.0,2041.0
-89.05759162303664,231.25,2041.0
-89.05759162303664,232.5,2041.0
-89.05759162303664,233.75,2041.0
-89.05759162303664,235.0,2041.0
-89.05759162303664,236.25,2041.0
-89.05759162303664,237.5,2041.0
-89.05759162303664,238.75,2041.0
-89.05759162303664,240.0,2041.0
-89.05759162303664,241.25,2041.0
-89.05759162303664,242.5,2041.0
-89.05759162303664,243.75,2041.0
-89.05759162303664,245.0,2041.0
-89.05759162303664,246.25,2041.0
-89.05759162303664,247.5,2041.0
-89.05759162303664,248.75,2041.0
-89.05759162303664,250.0,2041.0
-89.05759162303664,251.25,2041.0
-89.05759162303664,252.5,2041.0
-89.05759162303664,253.75,2041.0
-89.05759162303664,255.0,2041.0
-89.05759162303664,256.25,2041.0
-89.05759162303664,257.5,2041.0
-89.05759162303664,258.75,2041.0
-89.05759162303664,260.0,2041.0
-89.05759162303664,261.25,2041.0
-89.05759162303664,262.5,2041.0
